exerciseId,title
5fcf86fd-b4b2-49b3-ab9a-a7923ca4aeb2,
0287eeb9-eda6-411c-81b4-6e997b2675bc,
adb8e3e8-a02c-4115-a808-ed2dd3898371,
74b8a6ba-6408-4cfc-92f9-f844b28a01ff,
f2415610-b34d-45b3-a0e3-b63f76812933,
dc280a75-4348-4549-b337-e13fca241c3f,
77c40dd9-045d-4d91-bf9e-c2cb6ef11156,
2f5dcfa9-d4c4-4382-a06a-70eb3d1fb4c1,
6ccb3745-f646-4206-93d9-36e141ab8df3,
e45de1b6-fe70-4943-9ad2-74d185e8ca59,
ace59c0d-cf40-4a9f-ae95-13923c6706d0,
d5763c1d-e0d6-4cf3-ab38-2847e04db944,
722bc1e0-52e8-412a-b4f3-6eaee253ccd6,
6cfaabde-6ec1-452f-9638-8ce7b908255b,
384ac362-07b3-430d-86fb-d1fa5ff20218,
dce7ca84-439d-4ab6-a458-125e778f4d68,
71b59b4c-3d36-478d-86ed-dc7bc8bb8231,
010f4ca0-6dfa-4d2e-981f-9f85de1ada0e,
0e730c04-4df4-4e22-80dc-e93cee360842,
2cfba800-7c0a-45dd-8d61-a9a8815cdf21,
bc7b84b0-f884-41ce-8fe5-688f42739ae2,
5b9d8ddc-93df-4638-8d1c-9099c3429fc7,
9aad8615-157e-4184-8462-06c8d9d34de2,
2534b8b1-5e43-4ac0-82a4-8145e3917d09,
66cdc3a4-fced-44b5-8a0b-b44b59e5bd62,
b96d080d-adc1-428b-9b15-fc1ba838f778,
532ee874-79d2-4155-b1c2-3b70e2f980f2,
d4487f72-e252-4d3e-8756-000fa9e2c37a,
27c8199f-bb87-4db5-ba3b-1362a55820a6,
3098afca-772c-4011-acc5-71db0aeac672,
101929ea-fdc0-4cbf-a034-8e92e766cd91,
3599d016-5c04-4442-a51d-52cb605103d3,
1fb33460-61eb-4be9-9aa1-49938f434d8c,
68172d35-b36f-492d-b462-585f59a24b58,
e8795f64-709f-4d45-ac2c-943f7781f3fd,
a7615e3a-8f94-4879-a1f5-2c3ba129a3f3,
